replication,day,station,m3_in,m3_out,batches_processed
0,0,aserradero,94.236,47.763000000000005,5
0,0,bano,26.514,26.199,3
0,0,drymill,12.305,11.665,1
0,0,secado,11.325,11.074,1
0,1,aserradero,101.929,50.978,4
0,1,bano,24.586,24.198,2
0,1,drymill,22.488999999999997,21.256999999999998,2
0,1,impregnado,9.208,9.208,1
0,1,secado,22.283,21.508,2
0,2,aserradero,184.519,92.361,7
0,2,bano,37.202,36.217,3
0,2,drymill,67.611,63.474000000000004,5
0,2,impregnado,13.484,13.484,1
0,2,secado,73.437,70.611,5
0,3,aserradero,184.986,92.319,6
0,3,bano,59.432,58.772999999999996,4
0,3,drymill,14.378,13.408,1
0,3,impregnado,12.894,12.666,1
0,3,secado,31.459000000000003,30.509999999999998,2
0,4,aserradero,119.32,59.217,5
0,4,bano,43.643,43.095,4
0,4,drymill,13.84,12.833,1
0,4,impregnado,14.58,14.384,1
0,5,aserradero,168.133,84.648,6
0,5,bano,31.936,31.598,2
0,5,drymill,51.338,48.257999999999996,4
0,5,impregnado,13.237,13.233,1
0,5,secado,50.914,49.875,4
0,6,aserradero,28.443,14.055,1
0,6,secado,29.365000000000002,28.171,2
0,7,aserradero,122.629,61.659000000000006,4
0,7,drymill,72.218,68.68,5
0,7,impregnado,29.038,28.642,2
0,7,secado,44.016999999999996,42.014,3
0,8,aserradero,147.834,73.12700000000001,5
0,8,bano,14.899,14.899,1
0,8,drymill,56.548,53.511,4
0,8,impregnado,41.419,41.211,3
0,8,secado,58.312,56.077,4
0,9,aserradero,153.39600000000002,76.424,5
0,9,bano,28.875999999999998,28.463,2
0,9,drymill,59.318,55.738,4
0,9,impregnado,27.916,27.758000000000003,2
0,9,secado,59.679,57.71,4
0,10,aserradero,152.62,76.077,5
0,10,bano,14.212,14.05,1
0,10,drymill,29.47,28.523,2
0,10,impregnado,14.626,14.267,1
0,10,secado,44.825,44.248,3
0,11,aserradero,173.732,86.3,6
0,11,bano,15.457,15.081,1
0,11,drymill,87.753,82.854,5
0,11,impregnado,40.31,39.435,3
0,11,secado,75.553,73.12,5
0,12,aserradero,184.155,92.661,6
0,12,drymill,72.059,68.241,4
0,12,secado,91.039,87.983,6
0,13,aserradero,29.039,14.226,1
0,13,secado,14.33,13.77,1
0,14,aserradero,153.302,77.384,5
0,14,bano,58.761,58.438,4
