replication,product,exit_time_h,batch_id,volume_m3,source_aserradero_batch_id,lead_time_h
0,P1,10.137414546599627,1,11.116,1,0.441
0,P2,16.627089586617373,1,11.696,2,3.888
0,P1,20.200724017926508,2,14.498,3,0.588
0,P1,20.207315057807914,3,0.137,4,0.526
0,P1,31.459899143711866,4,13.236,6,5.972
0,P3,33.40425670524162,1,9.066,5,11.936
0,P1,33.887142987598615,5,10.447,7,0.583
0,P2,44.313079673985364,3,12.188,8,4.636
0,P2,56.29294877822305,4,14.211,10,6.932
0,P1,58.35767759092218,6,14.0,11,0.484
0,P3,58.733290614475784,2,12.868,9,11.29
0,P1,59.19856266026954,7,6.421,12,0.19
0,P2,66.78884263441611,6,14.737,13,4.917
0,P2,67.86257199786037,7,10.824,14,3.514
0,P1,70.91230287896354,8,14.6,16,0.444
0,P2,71.60627243021692,8,12.81,15,3.869
0,P1,79.5507045188572,9,14.661,17,5.881
0,P1,82.32324608386925,10,15.225,18,0.629
0,P1,88.62586282104911,11,15.478,20,0.694
0,P1,91.18988586204341,12,15.682,21,0.7
0,P3,92.43157950187722,3,13.576,19,7.07
0,P1,103.61114894330727,13,14.112,23,3.112
0,P1,104.71499031520398,14,6.9,24,0.275
0,P3,105.3087047317303,4,13.463,22,11.649
0,P1,106.97428418282186,15,10.346,25,0.5
0,P1,114.97840306106409,16,12.443,26,0.505
0,P3,129.96915787375488,5,14.361,28,9.176
0,P2,130.10054085065056,12,14.749,27,12.675
0,P1,130.14387369385824,17,14.826,29,0.543
0,P1,133.6299018917497,18,13.869,30,0.572
0,P2,140.98878655268513,13,14.463,31,4.143
0,P2,142.20278264800035,14,6.481,32,3.923
0,P2,176.06244480210495,15,14.698,34,31.072
0,P3,179.31603477628354,6,13.203,33,37.864
0,P2,183.08891993314478,17,12.798,35,4.43
0,P2,185.75756546976302,18,13.182,36,4.81
0,P3,191.92189351105011,7,12.78,37,7.131
0,P1,199.45332600077103,19,14.413,39,7.269
0,P3,201.2495241409901,8,14.664,38,11.649
0,P3,207.73498357714075,9,12.941,40,5.372
0,P3,212.12692298562848,10,13.397,41,5.313
0,P2,215.85423970397406,23,13.048,42,5.345
0,P2,224.4006914531599,24,13.759,44,7.485
0,P3,227.68923125000472,11,14.376,43,13.388
0,P1,230.43026311894238,20,14.878,46,0.58
0,P3,231.68884460051325,12,13.51,45,5.78
0,P1,237.63155821668695,21,14.131,48,0.676
0,P2,238.50283657132022,27,13.626,47,4.866
0,P2,247.881533222347,28,13.484,49,8.075
0,P1,251.67059278056354,22,14.016,50,0.649
0,P3,262.08636509413077,13,14.337,51,6.82
0,P3,273.7644464249658,14,14.044,54,8.791
0,P2,274.84722053719634,31,29.478,52,14.237
0,P3,280.3755023751961,15,12.712,55,6.635
0,P3,284.9836448069946,16,14.068,56,7.062
0,P1,286.9080260931157,23,15.15,59,0.569
0,P2,287.7992455909156,34,13.179,57,6.358
0,P2,296.7723744213718,35,26.948,58,9.96
0,P2,302.51871540885537,36,14.235,61,4.464
0,P2,305.94379434773595,37,12.918,62,5.649
0,P2,309.3335515420203,38,12.813,63,5.487
0,P1,343.5790155449699,24,14.52,66,29.89
0,P2,343.7760859087961,39,13.291,64,35.576
0,P3,346.6004584610113,17,14.057,65,37.419
0,P1,347.1268460269665,25,14.475,67,0.585
0,P1,354.01802758336765,26,14.156,69,0.736
0,P3,355.18874577645585,18,13.239,68,6.025
0,P1,356.65983131715967,27,14.475,70,0.562
0,P2,368.7402277434778,42,13.174,71,8.424
0,P1,371.3238113763581,28,14.178,72,0.715
0,P1,378.08980623917313,29,15.195,74,0.664
0,P3,381.1004657736017,19,13.84,73,7.24
0,P2,393.1408890931948,44,29.349,75,10.33
0,P1,395.2543645948518,30,15.898,77,0.475
0,P1,398.2031093469016,31,15.505,78,0.566
0,P1,400.82064392901094,32,15.499,79,0.62
0,P3,410.3014347537223,20,13.069,80,6.553
0,P1,415.4918875768027,33,15.056,82,4.949
0,P2,416.65474844934687,46,12.886,81,9.76
0,P3,427.9892329299412,21,13.83,83,8.241
0,P2,431.9904348343015,48,27.054,84,7.889
0,P1,439.57027886177997,34,13.892,87,7.939
0,P3,442.26961912568765,22,13.592,86,14.122
0,P3,447.8625982043893,23,14.706,88,5.319
0,P2,451.68573503899466,51,13.063,89,5.138
0,P2,453.36938916856747,52,13.625,90,4.185
0,P1,463.7092929085077,35,14.572,92,8.076
0,P3,466.09474396457233,24,14.351,91,12.46
0,P1,470.4955660798385,36,14.56,94,0.588
0,P2,470.6979169334184,54,14.336,93,4.608
0,P2,477.05992962275417,55,14.76,95,3.516
0,P2,511.9205951560045,56,13.014,97,31.004
0,P3,515.5973693905719,25,13.479,96,42.047
0,P3,520.6620989319972,26,14.648,98,6.472
0,P1,521.083027509598,37,14.141,100,0.478
0,P2,522.6646269071481,59,13.955,99,5.574
0,P1,524.728023766644,38,15.844,101,0.721
0,P2,536.3114339193197,60,14.407,102,8.769
0,P1,541.9257574674151,39,14.309,104,0.771
0,P3,545.4568324266775,27,14.49,103,8.21
0,P3,550.6497183303882,28,14.24,105,5.841
0,P1,559.6707412174147,40,14.146,108,5.612
0,P1,563.1184817960459,41,14.924,109,0.65
0,P3,564.8545243751136,29,26.324,106,15.662
0,P2,570.6008726718351,64,14.071,110,4.556
0,P2,573.9389740221272,65,14.359,111,5.436
0,P2,583.9086302908829,66,14.634,113,6.732
0,P3,586.6940475360306,30,14.477,112,14.37
0,P3,593.0633897397752,31,13.908,114,6.321
0,P2,597.6860451690212,69,13.664,115,6.641
0,P1,599.480065712126,42,14.486,117,0.577
0,P2,599.9726338129739,70,13.703,116,5.399
0,P2,607.9916753505169,71,14.714,118,5.975
0,P1,611.5333263968591,43,13.833,119,0.694
0,P3,621.1398882839837,32,14.699,120,6.344
0,P1,622.8086057856418,44,14.158,121,0.498
0,P2,632.3197326507906,73,13.681,122,6.827
0,P3,642.8414524453373,33,13.363,123,6.821
0,P3,645.1743026724866,34,13.748,124,7.245
0,P3,647.4585344156462,35,13.464,125,5.728
0,P2,681.2721409721638,77,29.057,126,37.117
0,P3,691.2071815817477,36,14.164,128,8.437
0,P3,694.0688771241784,37,12.765,129,9.015
0,P1,703.5601396130792,45,14.739,133,6.032
0,P1,709.959922080932,46,15.193,135,0.515
0,P3,710.6462185662141,38,39.864,130,19.16
0,P3,710.9445401429962,39,3.31,132,15.518
0,P2,712.0700374635595,82,14.004,134,5.691
0,P2,716.268409313913,83,12.868,136,3.528
0,P2,718.1996894690236,84,13.18,137,3.089
0,P3,730.2926560060884,40,14.08,138,7.444
0,P3,734.527130083605,41,14.068,139,4.186
0,P3,738.6860695068314,42,13.001,140,6.635
0,P1,758.2049109061227,47,13.766,141,0.531
0,P3,766.5970689276678,43,13.918,142,4.899
0,P2,777.7106578845645,89,29.622,143,10.563
0,P1,782.0001671398373,48,15.76,145,0.421
0,P2,789.100403727875,90,13.634,146,4.065
0,P3,794.0744121209613,44,12.931,147,6.383
0,P2,801.0112072559094,92,14.709,148,10.022
0,P1,806.6421585077595,49,14.928,150,0.538
0,P3,809.8330498817799,45,13.739,149,7.54
0,P2,814.19275019652,94,13.815,151,5.156
0,P1,847.622862002171,50,15.005,154,27.142
0,P2,849.7949796435294,95,26.5,152,34.633
0,P3,856.3586909858318,46,13.167,155,6.438
0,P2,858.8039419598829,97,14.52,156,6.165
0,P1,861.5462965898281,51,15.018,158,0.677
0,P3,863.9676184399319,47,13.673,157,6.714
0,P3,873.0355268434535,48,14.513,159,9.474
0,P1,874.9285951166955,52,15.084,160,0.635
0,P1,878.6770998003053,53,14.329,161,0.673
0,P1,882.2773351029177,54,14.762,162,0.8
0,P1,895.6272401553338,55,15.681,164,8.296
0,P3,896.8404042991987,49,12.683,163,12.56
0,P2,903.3999875589773,101,13.533,165,5.324
0,P1,906.3763720799044,56,14.156,167,0.646
0,P1,908.1181566338328,57,15.706,168,0.416
0,P3,908.2579906885686,50,13.653,166,6.828
0,P2,921.5460776553869,103,29.189,169,9.204
0,P3,947.8039627533274,51,26.146,171,13.354
0,P1,949.4651141975671,58,14.891,174,0.534
0,P3,951.7084103219304,52,13.77,173,6.379
0,P3,960.101632609011,53,13.819,175,6.972
0,P1,967.6300778317767,59,15.934,177,8.238
0,P2,968.7642091758157,107,14.738,176,11.275
0,P3,976.6122296913776,54,14.145,178,6.197
0,P3,979.9299253019328,55,13.377,179,6.736
0,P1,1015.5744715711166,60,13.794,181,32.386
0,P3,1018.1105146948637,56,14.53,180,37.383
0,P1,1019.0241324950175,61,14.053,182,0.537
0,P2,1027.7070916052212,111,14.824,183,5.262
0,P2,1029.8309285760904,112,13.446,184,3.907
0,P1,1039.546855975125,62,15.215,186,7.019
0,P3,1041.7542999213292,57,13.207,185,13.692
